tconst	ordering	nconst	category	job	characters
tt0000100	1	nm0617588	director	\N	\N
tt0000102	1	nm0617588	director	\N	\N
tt0000106	1	nm0617588	director	\N	\N
tt0000110	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000110	2	nm0005690	director	\N	\N
tt0000110	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000110	4	nm0005658	cinematographer	\N	\N
tt0000112	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000112	2	nm0005690	director	\N	\N
tt0000112	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000112	4	nm0005658	cinematographer	\N	\N
tt0000113	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000113	2	nm0005690	director	\N	\N
tt0000113	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000113	4	nm0005658	cinematographer	\N	\N
tt0000114	1	nm0617588	director	\N	\N
tt0000116	1	nm0617588	director	\N	\N
tt0000118	1	nm0617588	director	\N	\N
tt0000122	1	nm0617588	director	\N	\N
tt0000123	1	nm0617588	self	\N	["Himself (stage magician)"]
tt0000126	1	nm0617588	director	\N	\N
tt0000130	1	nm0617588	director	\N	\N
tt0000131	1	nm0617588	actor	\N	["L'homme qui essaie de dormir"]
tt0000137	1	nm0349785	director	\N	\N
tt0000138	1	nm0617588	actor	\N	["Inn Guest"]
tt0000141	1	nm0349785	director	\N	\N
tt0000142	1	nm0168621	actor	\N	\N
tt0000142	2	nm0924920	director	\N	\N
tt0000142	3	nm0374658	cinematographer	\N	\N
tt0000143	1	nm0349785	director	\N	\N
tt0000144	1	nm0349785	director	\N	\N
tt0000145	1	nm0349785	director	\N	\N
tt0000149	1	nm0617588	director	\N	\N
tt0000155	1	nm0617588	director	\N	\N
tt0000161	1	nm0349785	director	\N	\N
tt0000163	1	nm0349785	director	\N	\N
tt0000164	1	nm0349785	director	\N	\N
tt0000167	1	nm0422809	director	\N	\N
tt0000168	1	nm0005717	director	\N	\N
tt0000169	1	nm0698645	director	\N	\N
tt0000169	2	nm0677318	producer	producer	\N
tt0000171	1	nm0349785	director	\N	\N
tt0000172	1	nm0809419	actress	\N	\N
tt0000172	2	nm0338379	actor	\N	["Professor"]
tt0000172	3	nm0808310	director	\N	\N
tt0000174	1	nm0841389	actor	\N	["Sausage Vendor"]
tt0000174	2	nm1024447	actor	\N	["Sticker"]
tt0000174	3	nm0471818	director	\N	\N
tt0000180	1	nm0349785	director	\N	\N
tt0000181	1	nm0809419	actress	\N	["Cinderella"]
tt0000181	2	nm0808310	director	\N	\N
tt0000181	3	nm0674518	writer	story "Cendrillon"	\N
tt0000184	1	nm0924920	director	\N	\N
tt0000187	1	nm0349785	director	\N	\N
tt0000189	1	nm0005717	director	\N	\N
tt0000190	1	nm0841389	actor	\N	["Old Philanderer"]
tt0000190	2	nm1024447	actor	\N	["Man with Broom"]
tt0000190	3	nm0471818	director	\N	\N
tt0000191	1	nm0349785	director	\N	\N
tt0000192	1	nm0518132	self	\N	["Herself"]
tt0000192	2	nm0924920	director	\N	\N
tt0000192	3	nm0238900	writer	novel "Trilby"	\N
tt0000192	4	nm0374658	cinematographer	\N	\N
tt0000193	1	nm0349785	director	\N	\N
tt0000194	1	nm0378408	director	\N	\N
tt0000195	1	nm0349785	director	\N	\N
tt0000196	1	nm0808310	director	\N	\N
tt0000196	2	nm0324473	writer	novel	\N
tt0000199	1	nm0666972	producer	producer	\N
tt0000202	1	nm0349785	director	\N	\N
tt0000205	1	nm0349785	director	\N	\N
tt0000206	1	nm0005717	director	\N	\N
tt0000208	1	nm0808310	director	\N	\N
tt0000212	1	nm0795060	director	\N	\N
tt0000214	1	nm0085865	actor	\N	["Hand that tears down the Spanish flag"]
tt0000214	2	nm0807236	producer	producer	\N
tt0000216	1	nm1997201	self	\N	["Herself"]
tt0000216	2	nm0454367	self	\N	["Himself"]
tt0000216	3	nm0005717	director	\N	\N
tt0000217	1	nm0808310	director	\N	\N
tt0000218	1	nm0617588	actor	\N	["Fernand Labori"]
tt0000220	1	nm0666972	producer	producer	\N
tt0000223	1	nm0349785	director	\N	\N
tt0000226	1	nm0378408	producer	producer	\N
tt0000228	1	nm0349785	director	\N	\N
tt0000230	1	nm1333156	actress	\N	["Cinderella"]
tt0000230	2	nm0076933	actress	\N	["The Fairy Godmother"]
tt0000230	3	nm1778224	actor	\N	["Prince Charming"]
tt0000230	4	nm0194945	actress	\N	["Fairy Godmother"]
tt0000230	5	nm0617588	director	\N	\N
tt0000230	6	nm0674518	writer	story "Cinderella"	\N
tt0000230	7	nm1778292	actor	\N	["Party Guest"]
tt0000231	1	nm0795060	director	\N	\N
tt0000231	2	nm0666972	producer	producer	\N
tt0000234	1	nm0194945	actress	\N	["Cleopatre"]
tt0000234	2	nm0617588	actor	\N	["Tomb Digger"]
tt0000235	1	nm0194945	actress	\N	["Ayesha"]
tt0000235	2	nm0617588	actor	\N	["The Devil"]
tt0000235	3	nm0353584	writer	novel "She"	\N
tt0000236	1	nm0349785	director	\N	\N
tt0000238	1	nm0349785	director	\N	\N
tt0000239	1	nm0349785	director	\N	\N
tt0000240	1	nm0005658	cinematographer	\N	\N
tt0000240	2	nm0555522	cinematographer	\N	\N
tt0000241	1	nm0349785	director	\N	\N
tt0000243	1	nm0349785	director	\N	\N
tt0000244	1	nm0349785	director	\N	\N
tt0000245	1	nm0002615	producer	producer	\N
tt0000247	1	nm0002504	actor	\N	["King John"]
tt0000247	2	nm0784327	actor	\N	["Prince Henry"]
tt0000247	3	nm2259742	actor	\N	["Arthur"]
tt0000247	4	nm0924893	actor	\N	["Earl of Pembroke"]
tt0000247	5	nm2156608	director	\N	\N
tt0000247	6	nm0005690	director	\N	\N
tt0000247	7	nm0000636	writer	play	\N
tt0000247	8	nm6114857	composer	\N	\N
tt0000247	9	nm6010696	production_designer	\N	\N
tt0000249	1	nm0808310	director	\N	\N
tt0000250	1	nm0005717	director	\N	\N
tt0000252	1	nm0349785	director	\N	\N
tt0000253	1	nm0095816	director	\N	\N
tt0000253	2	nm0666972	producer	producer	\N
tt0000254	1	nm0349785	director	\N	\N
tt0000255	1	nm0349785	director	\N	\N
tt0000257	1	nm0349785	director	\N	\N
tt0000262	1	nm0349785	director	\N	\N
tt0000266	1	nm0035502	cinematographer	\N	\N
tt0000269	1	nm0666972	director	\N	\N
tt0000271	1	nm0349785	director	\N	\N
tt0000275	1	nm0349785	director	\N	\N
tt0000278	1	nm0168621	self	\N	["Himself"]
tt0000280	1	nm0168621	actor	\N	\N
tt0000280	2	nm0555522	cinematographer	\N	\N
tt0000281	1	nm0168621	actor	\N	\N
tt0000281	2	nm0035502	cinematographer	\N	\N
tt0000283	1	nm0349785	director	\N	\N
tt0000285	1	nm0095816	director	\N	\N
tt0000285	2	nm0666972	producer	producer	\N
tt0000291	1	nm0349785	director	\N	\N
tt0000292	1	nm0349785	director	\N	\N
tt0000294	1	nm0349785	director	\N	\N
tt0000297	1	nm0349785	director	\N	\N
tt0000302	1	nm0349785	director	\N	\N
tt0000303	1	nm0349785	director	\N	\N
tt0000304	1	nm2940072	actor	\N	["Willy - the little grandson"]
tt0000304	2	nm0808310	director	\N	\N
tt0000305	1	nm0112631	actress	\N	\N
tt0000305	2	nm0349785	director	\N	\N
tt0000309	1	nm0164281	actress	\N	["Passenger"]
tt0000309	2	nm0378408	actor	\N	["Driver"]
tt0000312	1	nm0349785	director	\N	\N
tt0000314	1	nm0349785	director	\N	\N
tt0000315	1	nm0349785	director	\N	\N
tt0000324	1	nm0349785	director	\N	\N
tt0000325	1	nm0112631	actress	\N	\N
tt0000325	2	nm0349785	director	\N	\N
tt0000327	1	nm0349785	director	\N	\N
tt0000328	1	nm0349785	director	\N	\N
tt0000331	1	nm0349785	director	\N	\N
tt0000333	1	nm0349785	director	\N	\N
tt0000334	1	nm0349785	director	\N	\N
tt0000336	1	nm0349785	director	\N	\N
tt0000338	1	nm0349785	director	\N	\N
tt0000340	1	nm0542567	actor	\N	["Uncle Josh"]
tt0000340	2	nm0692105	director	\N	\N
tt0000343	1	nm0349785	director	\N	\N
tt0000344	1	nm0349785	director	\N	\N
tt0000347	1	nm0168621	actor	\N	\N
tt0000347	2	nm0035502	cinematographer	\N	\N
tt0000361	1	nm0349785	director	\N	\N
tt0000365	1	nm0182052	director	\N	\N
tt0000371	1	nm0349785	director	\N	\N
tt0000372	1	nm0349785	director	\N	\N
tt0000373	1	nm0954087	director	\N	\N
tt0000374	1	nm0349785	director	\N	\N
tt0000375	1	nm0182052	director	\N	\N
tt0000376	10	nm0466448	actor	\N	\N
tt0000376	1	nm0617272	actress	\N	["Salome"]
tt0000376	2	nm0086082	actress	\N	\N
tt0000376	3	nm0632577	actress	\N	\N
tt0000376	4	nm0631776	actress	\N	\N
tt0000376	5	nm0958169	director	\N	\N
tt0000376	6	nm0670740	writer	\N	\N
tt0000376	7	nm0449435	composer	\N	\N
tt0000376	8	nm0078562	actress	\N	["Táncos"]
tt0000376	9	nm0051042	actress	\N	\N
tt0000378	1	nm0462306	actress	\N	\N
tt0000378	2	nm0815907	actress	\N	\N
tt0000378	3	nm0349785	director	\N	\N
tt0000381	1	nm0168621	actor	\N	\N
tt0000381	2	nm0002615	producer	producer	\N
tt0000382	1	nm0005717	director	\N	\N
tt0000383	1	nm0005717	director	\N	\N
tt0000384	1	nm0349785	director	\N	\N
tt0000386	1	nm0349785	director	\N	\N
tt0000389	1	nm0349785	director	\N	\N
tt0000391	1	nm0349785	director	\N	\N
tt0000394	1	nm0349785	director	\N	\N
tt0000395	1	nm0349785	director	\N	\N
tt0000398	1	nm0349785	director	\N	\N
tt0000399	1	nm0924920	actor	\N	["Farmer"]
tt0000399	2	nm0925513	actor	\N	["Jack"]
tt0000399	3	nm2092030	director	\N	\N
tt0000399	4	nm0692105	director	\N	\N
tt0000404	1	nm0349785	director	\N	\N
tt0000411	1	nm0349785	director	\N	\N
tt0000419	1	nm0349785	director	\N	\N
tt0000420	1	nm0164281	actress	\N	["Alice"]
tt0000420	2	nm0378408	actor	\N	["Frog"]
tt0000420	3	nm1012587	actor	\N	["Large dog"]
tt0000420	4	nm0265714	actor	\N	["Card"]
tt0000420	5	nm0832948	director	\N	\N
tt0000420	6	nm0140902	writer	novel "Alice's Adventures in Wonderland"	\N
tt0000421	1	nm0954087	actor	\N	\N
tt0000421	2	nm0349785	director	\N	\N
tt0000424	1	nm0349785	director	\N	\N
tt0000425	1	nm0168621	actor	\N	\N
tt0000425	2	nm0783152	producer	producer	\N
tt0000430	1	nm10102653	actor	\N	["Chess Player"]
tt0000430	2	nm0666972	director	\N	\N
tt0000435	1	nm0349785	director	\N	\N
tt0000437	1	nm0349785	director	\N	\N
tt0000439	10	nm0302368	actor	\N	["Little Boy"]
tt0000439	1	nm0001908	actor	\N	["Bandit","Shot Passenger","Tenderfoot Dancer"]
tt0000439	2	nm0007625	actor	\N	["Sheriff"]
tt0000439	3	nm0055607	actor	\N	\N
tt0000439	4	nm0055661	actor	\N	["Bandit Who Fires at Camera"]
tt0000439	5	nm0692105	director	\N	\N
tt0000439	6	nm1145809	writer	story	\N
tt0000439	7	nm0807466	cinematographer	\N	\N
tt0000439	8	nm0131750	actor	\N	["Sheriff"]
tt0000439	9	nm2313241	actor	\N	["Fourth Bandit"]
tt0000440	1	nm0617588	actor	\N	["Musketeer"]
tt0000441	1	nm0159015	director	\N	\N
tt0000441	2	nm0842605	writer	novel "The Travels of Gulliver"	\N
tt0000447	1	nm0692105	actor	\N	["Policeman"]
tt0000447	2	nm0891119	actress	\N	["The Girl"]
tt0000447	3	nm0924475	actor	\N	["The Fireman"]
tt0000447	4	nm0924920	actor	\N	["Fire Chief"]
tt0000447	5	nm2092030	director	\N	\N
tt0000448	1	nm0349785	director	\N	\N
tt0000450	1	nm0349785	director	\N	\N
tt0000451	1	nm0809419	actress	\N	["Mary Jane"]
tt0000451	2	nm0808310	director	\N	\N
tt0000452	1	nm0001908	actor	\N	["Messenger Boy"]
