nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0499549,tt0120338,tt0120647,tt0120746
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015863,tt0015324,tt0016332,tt0017925
nm0000037	Gene Kelly	1912	1996	actor,soundtrack,director	tt0041716,tt0043278,tt0045152,tt0053946
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0048728,tt0044706,tt0046912,tt0047396
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0050105,tt0039192,tt0045793,tt0049408
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0062622,tt0120663,tt0072684,tt0066921
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0051808,tt0080979,tt0089881,tt0042876
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0035432,tt0038369,tt0042279,tt0046303
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0038369,tt0034798,tt0034240,tt0034881
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0050468,tt0045793,tt0051036,tt0053793
nm0000045	Bruce Lee	1940	1973	actor,miscellaneous,producer	tt0070034,tt0068767,tt0068935,tt0077594
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0034272,tt0031381,tt0033238,tt0044081
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0054749,tt0058335,tt0060121,tt0076085
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0022100,tt0036613,tt0034583,tt0033870
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0057413,tt0383216,tt0054698,tt0085101
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0026778,tt0028772,tt0022158,tt0023969
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0056193,tt0047522,tt0046672,tt0053125
nm0000052	Marcello Mastroianni	1924	1996	actor,soundtrack,producer	tt0055913,tt0076085,tt0053779,tt0056801
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0056197,tt0039689,tt0101540,tt0048424
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0053291,tt0048605,tt0050861,tt0045810
nm0000055	Alfred Newman	1901	1970	music_department,composer,soundtrack	tt0434409,tt0049408,tt0056085,tt0042192
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0090863,tt0061512,tt0054997,tt0084855
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0061452,tt0057413,tt0074937
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0041149,tt0055277,tt0045061,tt0039628
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0069281,tt0054331,tt0040416,tt0032976
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0041996,tt0056592,tt0039416,tt0046250
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0051201,tt0043959,tt0032762,tt0038873
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0056585,tt0053848,tt0056023,tt0054692
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0063599,tt0057831,tt0049456,tt0056172
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0040506,tt0036775,tt0021079,tt0070723
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0071562,tt0056801,tt0063518,tt0068646
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0043643,tt0045177,tt0045810,tt0043476
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0052618,tt0054847,tt0036775,tt0038109
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0049743,tt0051047,tt0056412,tt0026942
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0052218,tt0056218,tt0050815,tt0045793
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0040897,tt0031381,tt0036613,tt0034583
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0052357,tt0031679,tt0032904,tt0052561
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0061184,tt0051459,tt0056937,tt0053318
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0040369,tt0032264,tt0030657,tt0027421
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0038492,tt0039420,tt0037865,tt0037008
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0057193,tt0055031,tt0061735,tt0053946
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0070460,tt0055032,tt0053198,tt0075860
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0043924,tt0043014,tt0034248,tt0032976
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0053580,tt0057298,tt0065126,tt0056217
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0072281,tt0061653,tt0068795,tt0070291
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0048393,tt0057427,tt0052311,tt0033467
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0048545,tt0055614,tt0055471,tt0057263
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt3315342,tt0090756,tt0045061,tt0119094
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt5969604,tt0424773,tt0969216,tt0320978
nm0000084	Li Gong	1965	\N	actress	tt0397535,tt0101640,tt0473444,tt0430357
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt0097523,tt1825758,tt0113482,tt0097738
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0083109,tt0058135,tt0069747,tt0074103
nm0000087	Elena Koreneva	1953	\N	actress,casting_director	tt5847740,tt0123138,tt7529350,tt0122969
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0191104,tt0063752,tt0068304,tt0100069
nm0000089	Richard Paul	1940	1998	actor,soundtrack	tt0093778,tt0075489,tt0088529,tt0117318
